id,name,category,subfilter,image,short_description,is_new,sku
U-Cable-Patch-RJ45-Indoor,UniFi Patch Cable Indoor,Accessories,RJ45 & Copper,/images/camera.jpg,"Ultra-thin patch cable with GbE support and flexible, bendable boots for enhanced installation versatility.",0,U-Cable-Patch-RJ45-Indoor
U-Cable-Patch-RJ45-Outdoor,UniFi Patch Cable Outdoor,Accessories,RJ45 & Copper,/images/camera.jpg,"Rugged, outdoor patch cable designed to function in the harshest environments.",0,U-Cable-Patch-RJ45-Outdoor
UACC-Cable-Patch-EL-0.15M-W,UniFi etherlighting Patch Cable,Accessories,RJ45 & Copper,/images/camera.jpg,"Nano-thin patch cable with 10 GbE support, designed to showcase Etherlighting™ effects.",0,UACC-Cable-Patch-EL-0.15M-W
ENVR,Enterprise NVR,Camera Security,NVRs and Edge Devices,/images/camera.jpg,"3U NVR with (16) 2.5/3.5' drive bays, supporting up to (70) 4K cameras or (210) FUll HD cameras.",0,ENVR
UNVR-Pro,Network Video Recorder Pro,Camera Security,NVRs and Edge Devices,/images/camera.jpg,A 2U-sized video recorder with (7) 2.5/3.5' HDD bays that can provide up to 60 days of storage for (24) 4K cameras or (70) Full HD cameras.,0,UNVR-PRO
UNVR,Network Video Recorder ,Camera Security,NVRs and Edge Devices,/images/camera.jpg,A video recorder with (4) 2.5/3.5' HDD bays that can support up to 30 days of storage for (18) 4k cameras or (60) Full HD cameras.,0,UNVR
UNVR-Instant,Network Video Recorder Instant,Camera Security,NVRs and Edge Devices,/images/camera.jpg,"Compact UniFi Protect NVR with 3.5' HDD support, featuring an integrated 6-port PoE switch, integrated HDMI View Port, and a capacity for (6) 4K cameras or (15) Full HD cameras.",0,UNVR-INSTANT
UNVR-Instant-Kit,Network Video Recorder Instant Kit,Camera Security,NVRs and Edge Devices,/images/camera.jpg,"Compact UniFi Protect NVR Kit, includes (1) UniFi Protect NVR Instant with (4) G5 Turret Ultra cameras and (1) 1TB HDD, delivering an all-in-one solution for fast and effortless setup.",0,UNVR-INSTANT-KIT
AI-Key,AI Key,Camera Security,NVRs and Edge Devices,/images/camera.jpg,"Edge AI appliance that enhances any UniFi Protect deployment with proactive, AI-driven threat detection and alerting, capable of analyzing up to 1,800 smart detection events per hour.",0,AI-KEY
UP-AI-Port,AI Port,Camera Security,NVRs and Edge Devices,/images/camera.jpg,"AI appliance that enhances any UniFI or third-party camera with AI detection, classification, and recognition capabilites.",0,UP-AI-PORT
