product_id,bullet_point,sort_order
U-Cable-Patch-RJ45-Indoor,Bendable booted RJ45,0
U-Cable-Patch-RJ45-Indoor,3 mm outer diameter,1
U-Cable-Patch-RJ45-Indoor,Cable length: 0.1 to 8m,2
U-Cable-Patch-RJ45-Outdoor,Shielded RJ45,0
U-Cable-Patch-RJ45-Outdoor,"Insulated, weatherpoof jacket",1
U-Cable-Patch-RJ45-Outdoor,Internal foil shielding and drain wire for increased ESD damage protection,2
U-Cable-Patch-RJ45-Outdoor,Cable Lenghth: 1 to 8 m,3
UACC-Cable-Patch-EL-0.15M-W,Translucent booted RJ45 for optimal Etherlighting™ brightness,0
UACC-Cable-Patch-EL-0.15M-W,— 2.5 mm outer diameter for 0.15-8 m lengths,1
UACC-Cable-Patch-EL-0.15M-W,— 2.9 mm outer diameter for 12-15 m lengths,2
UACC-Cable-Patch-EL-0.15M-W,Length: 0.15 to 15 m,3
ENVR,Professional Enterprise NVR camera,0
ENVR,High-resolution video recording,1
ENVR,AI-powered detection and analytics,2
ENVR,Weather-resistant design,3
UNVR-Pro,A 2U-sized video recorder with (7) 2,0
UNVR-Pro,5' HDD bays that can provide up to 60 days of storage for (24) 4K cameras or (70) Full HD cameras,1
UNVR-Pro,Easy to deploy and manage,2
UNVR-Pro,Reliable performance,3
UNVR,A video recorder with (4) 2,0
UNVR,5' HDD bays that can support up to 30 days of storage for (18) 4k cameras or (60) Full HD cameras,1
UNVR,Easy to deploy and manage,2
UNVR,Reliable performance,3
UNVR-Instant,Compact UniFi Protect NVR with 3,0
UNVR-Instant,5' HDD support,1
UNVR-Instant,featuring an integrated 6-port PoE switch,2
UNVR-Instant,integrated HDMI View Port,3
UNVR-Instant-Kit,Compact UniFi Protect NVR Kit,0
UNVR-Instant-Kit,includes (1) UniFi Protect NVR Instant with (4) G5 Turret Ultra cameras and (1) 1TB HDD,1
UNVR-Instant-Kit,delivering an all-in-one solution for fast and effortless setup,2
UNVR-Instant-Kit,Reliable performance,3
AI-Key,Edge AI appliance that enhances any UniFi Protect deployment with proactive,0
AI-Key,AI-driven threat detection and alerting,1
AI-Key,capable of analyzing up to 1,2
AI-Key,800 smart detection events per hour,3
UP-AI-Port,AI appliance that enhances any UniFI or third-party camera with AI detection,0
UP-AI-Port,classification,1
UP-AI-Port,and recognition capabilites,2
UP-AI-Port,Reliable performance,3
UP-Viewport,Easy-to-use hub for viewing Protect camera feeds on an HDMI display,0
UP-Viewport,Enterprise-grade quality,1
UP-Viewport,Easy to deploy and manage,2
UP-Viewport,Reliable performance,3
UCK-G2-SSD,Compact UniFi Console that connects directly to the Site Manager at unifi,0
UCK-G2-SSD,com for powerful,1
UCK-G2-SSD,multi-application site management,2
UCK-G2-SSD,Reliable performance,3
UVC-G6-Pro-Turret,All-weather tamper-resistant 4K PoE+ camera with a Multi-TOPS AI engine,0
UVC-G6-Pro-Turret,36x optizal zoom,1
UVC-G6-Pro-Turret,and a large 1/1,2
UVC-G6-Pro-Turret,2' CMOS sensor for exceptional low-light clarity and long-range IR night vision,3
UVC-G6-Pro-Dome,All-weather vandal-proof 4K PoE+ camera with a Multi-TOPS AI engine,0
UVC-G6-Pro-Dome,36x optical zoom,1
UVC-G6-Pro-Dome,and a large 1/1,2
UVC-G6-Pro-Dome,2' CMOS sensor for exceptional low-light clarity and long-range IR night vision,3
UVC-G6-Turret,All-weather,0
UVC-G6-Turret,tamper-resistant 4K PoE camera with a 1/1,1
UVC-G6-Turret,8' 8MP image sensor,2
UVC-G6-Turret,Multi-TOPS AI Engine,3
UVC-G6-Dome,All-weather,0
UVC-G6-Dome,vandal-proof 4K PoE camera with a 1/1,1
UVC-G6-Dome,8' 8MP image sensor,2
UVC-G6-Dome,Multi-TOPS AI Engine,3
UVC-G6-Pro-360-  ,All-weather,0
UVC-G6-Pro-360-  ,vandal-resistant 12MP PoE camera with panoramic 360° coverage,1
UVC-G6-Pro-360-  ,digital pan-tilt-zoom functionality,2
UVC-G6-Pro-360-  ,and smart IR functionality,3
UVC-G6-180-B/W,Indoor/outdoor dual sensor 16MP 20 FPS PoE+ camera,0
UVC-G6-180-B/W,with a Multi-TOPS AI Engine and panoramic 180° coverage,1
UVC-G6-180-B/W,Easy to deploy and manage,2
UVC-G6-180-B/W,Reliable performance,3
UVC-G5-Turret-Ultra-B/W,Ultra-compact,0
UVC-G5-Turret-Ultra-B/W,tamper-resistant,1
UVC-G5-Turret-Ultra-B/W,and weatherproof 2K HD PoE camera with long-range night vision,2
UVC-G5-Turret-Ultra-B/W,Reliable performance,3
UVC-AI-Turret-B/W,All-weather,0
